"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M3GFMR8R","conferencePaper","2023","Gao, Wentao; Pham, Van-Thuan; Liu, Dongge; Chang, Oliver; Murray, Toby; Rubinstein, Benjamin I.P.","Beyond the Coverage Plateau: A Comprehensive Study of Fuzz Blockers (Registered Report)","Proceedings of the 2nd International Fuzzing Workshop","9798400702471","","10.1145/3605157.3605177","https://dl.acm.org/doi/10.1145/3605157.3605177","Fuzzing and particularly code coverage-guided greybox fuzzing is highly successful in automated vulnerability discovery, as evidenced by the multitude of vulnerabilities uncovered in real-world software systems. However, results on large benchmarks such as FuzzBench indicate that the state-of-the-art fuzzers often reach a plateau after a certain period, typically around 12 hours. With the aid of the newly introduced FuzzIntrospector platform, this study aims to analyze and categorize the fuzz blockers that impede the progress of fuzzers. Such insights can shed light on future fuzzing research, suggesting areas that require further attention. Our preliminary findings reveal that the majority of top fuzz blockers are not directly related to the program input, emphasizing the need for enhanced techniques in automated fuzz driver generation and modification.","2023-07-17","2023-08-18 21:45:50","2023-08-18T21:45:50Z","2023-08-18 00:00:00","47–55","","","","","","Beyond the Coverage Plateau","FUZZING 2023","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","Citation Key: gaoCoveragePlateauComprehensive2023","","","","","fuzzing; software security; vulnerability detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJTLHZEU","conferencePaper","2023","Qian, Ruixiang; Zhang, Quanjun; Fang, Chunrong; Chen, Zhenyu","DiPri: Distance-Based Seed Prioritization for Greybox Fuzzing (Registered Report)","Proceedings of the 2nd International Fuzzing Workshop","9798400702471","","10.1145/3605157.3605172","https://doi.org/10.1145/3605157.3605172","Greybox fuzzing is a powerful testing technique. Given a set of initial seeds, greybox fuzzing continuously generates new test inputs to execute the program under test and gravitates executions towards rarely explored program regions with code coverage as feedback. Seed prioritization is an important step of greybox fuzzing that prioritizes promising seeds for input generation. However, mainstream greybox fuzzers like AFL++ and Zest tend to slight the importance of seed prioritization and plainly pick seeds according to the order of the seeds being queued, or rely on an approach with randomness, which may consequently degrade their performance. In this paper, we propose a novel distance-based seed prioritization approach named DiPri to facilitate greybox fuzzing. Specifically, DiPri calculates the distances among seeds and selects the ones that are farther from the others in priority to improve the probabilities of discovering previously unexplored regions. To make a preliminary evaluation, we integrate DiPri into AFL++ and Zest and conduct experiments on eight (four in C/C++ and four in Java) fuzz targets. We also consider six configurations, i.e., three prioritization modes multiplied by two distance measures, in our evaluation to investigate how different prioritization timings and measures affect DiPri. The experimental results show that, compared to the default seed prioritization approaches of AFL++ and Zest, DiPri covers 1.87%∼13.86% more edges in three out of four C/C++ fuzz targets and 0.29%∼4.97% more edges in the four Java fuzz targets with certain configurations. The results highlight the potential of facilitating greybox fuzzing with distance-based seed prioritization.","2023-07-17","2023-08-18 21:45:47","2023-08-18T21:45:47Z","2023-08-18 00:00:00","21–30","","","","","","DiPri","FUZZING 2023","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","Citation Key: qianDiPriDistanceBasedSeed2023","","","","","Greybox Fuzzing; Seed Distance; Seed Prioritization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5CUB7JA","conferencePaper","2023","Crump, Addison; Zhang, Dongjia; Asif, Syeda Mahnur; Maier, Dominik; Fioraldi, Andrea; Holz, Thorsten; Balzarotti, Davide","CrabSandwich: Fuzzing Rust with Rust (Registered Report)","Proceedings of the 2nd International Fuzzing Workshop","9798400702471","","10.1145/3605157.3605176","https://doi.org/10.1145/3605157.3605176","The rust programming language is one of the fastest-growing programming languages, thanks to its unique blend of high performance execution and memory safety. Still, programs implemented in rust can contain critical bugs. Apart from logic bugs and crashes, code in unsafe blocks can still trigger memory corruptions. To find these, the community uses traditional fuzzers like libfuzzer or aflpp, in combination with rust-specific macros. Of course, the fuzzers themselves are still written in memory-unsafe languages. In this paper, we explore the possibility of replacing the input generators with rust, while staying compatible to existing harnesses. Based on the rust fuzzer library libafl, we develop ourtool, a drop-in replacement for the C++ component of cargo-fuzz. We evaluate our tool, written in rust, against the original fuzzer libfuzzer. We show that we are not only able to successfully fuzz all three targets we tested with ourtool, but outperform cargo-fuzz in bug coverage. During our preliminary evaluation, we already manage to uncover new bugs in the pdf crate that could not be found by cargo-fuzz, proving the real-world applicability of our approach, and giving us high hopes for the planned follow-up evaluations.","2023-07-17","2023-08-18 21:45:44","2023-08-18T21:45:44Z","2023-08-18 00:00:00","39–46","","","","","","CrabSandwich","FUZZING 2023","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","Citation Key: crumpCrabSandwichFuzzingRust2023","","","","","framework; fuzzing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQDK9LT2","report","2023","Keating, Connor Tom; Hickman, Lydia; Geelhand, Philippine; Takahashi, Toru; Schuster, Bianca; Rybicki, Alicia; Girolamo, Teresa; Clin, Elise; Papastamou, Fanny Claire Sofia; Belenger, Marie; Eigsti, Inge-Marie; Cook, Jennifer; Sowden, Sophie","Cross-cultural variation in experiences of acceptance, camouflaging and mental health difficulties in autism: A registered repor","","","","","https://doi.org/10.31234/osf.io/gmdxu","Recent findings suggest that stigma and camouflaging contribute to mental health difficulties for autistic individuals, however, this evidence is largely based on UK samples. While studies have shown cross-cultural differences in levels of autism-related stigma, it remains unclear whether camouflaging and mental health difficulties vary across cultures. Hence, the current study had two aims: firstly, to determine whether significant relationships between autism acceptance, camouflaging, and mental health difficulties replicate in a more diverse cross-cultural sample of autistic adults and, secondly, to compare these variables across cultures. To fulfil these aims, 306 autistic adults from eight countries (Australia, Belgium, Canada, Japan, New Zealand, South Africa, the United Kingdom, and the United States) completed an online survey. Our results revealed that external acceptance and personal acceptance predicted lower levels of depression but not camouflaging or stress. Higher camouflaging predicted elevated levels of anxiety. Significant differences were found across countries in external acceptance, personal acceptance, depression, anxiety, and stress, even after controlling for relevant covariates. Specifically, autistic individuals in Japan experienced lower levels of external and personal acceptance, and those in Belgium experienced lower levels of external acceptance, than at least one other country. Unique profiles of mental health difficulties were identified across countries. Nevertheless, autistic individuals in South Africa consistently experienced the highest mental health burden, displaying elevated levels of depression, anxiety, and stress, while those in the US experienced the lowest. Levels of camouflaging also differed across cultures, with those in Japan scoring lowest, however this became non-significant after controlling for covariates. These findings have significant implications for identifying priority regions for anti-stigma interventions and highlighting countries where greater support for mental health difficulties is needed.","2023","2023-07-28 14:54:20","2023-07-28T14:54:20Z","2023-07-28 14:54:20","","","","","","","Cross-cultural variation in experiences of acceptance, camouflaging and mental health difficulties in autism","","","","","","","","cc by","","","","Europe PMC","","DOI: 10.31234/osf.io/gmdxu Type: article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFLMTRKJ","journalArticle","2022","Fekete, Anna; Maidhof, Rosa M.; Specker, Eva; Nater, Urs M.; Leder, Helmut","Does art reduce pain and stress? A registered report protocol of investigating autonomic and endocrine markers of music, visual art, and multimodal aesthetic experience","PLOS ONE","","1932-6203","10.1371/journal.pone.0266545","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266545","The pain- and stress-reducing effects of music are well-known, but the effects of visual art, and the combination of these two, are much less investigated. We aim to (1) investigate the pain- and (2) stress-reducing effects of multimodal (music + visual art) aesthetic experience as we expect this to have stronger effects than a single modal aesthetic experience (music/ visual art), and in an exploratory manner, (3) investigate the underlying mechanisms of aesthetic experience, and the (4) individual differences. In a repeated-measures design (music, visual art, multimodal aesthetic experience, control) participants bring self-selected “movingly beautiful” visual artworks and pieces of music to the lab, where pain and stress are induced by the cold pressor test. Activity of the pain and stress responsive systems are measured by subjective reports, autonomic (electrocardiography, electrodermal activity, salivary alpha-amylase) and endocrine markers (salivary cortisol).","2022-04-14","2023-06-13 15:25:04","2023-06-13T15:25:04Z","2023-02-24 21:30:30","e0266545","","4","17","","PLOS ONE","Does art reduce pain and stress?","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","","","life science","Emotions; Music cognition; Music perception; Pain; Psychological attitudes; Psychological stress; Sensory perception; Vision","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YU5NKEAA","report","2023","Amoroso d'Aragona, Dario; Pascarella, Luca; Janes, Andrea; Lenarduzzi, Valentina; Penaloza, Rafael; Taibi, Davide","Breaks and Code Quality: Investigating the Impact of Forgetting on Software Development. A Registered Report","","","","","https://ui.adsabs.harvard.edu/abs/2023arXiv230500760A","Developers interrupting their participation in a project might slowly forget critical information about the code, such as its intended purpose, structure, the impact of external dependencies, and the approach used for implementation. Forgetting the implementation details can have detrimental effects on software maintenance, comprehension, knowledge sharing, and developer productivity, resulting in bugs, and other issues that can negatively influence the software development process. Therefore, it is crucial to ensure that developers have a clear understanding of the codebase and can work efficiently and effectively even after long interruptions. This registered report seeks to investigate the relationship between a developer's commits break and different code quality properties, so as to understand if the amount of activity in a project impact the code quality, and if developers with different activity profiles show different impacts on code quality. The results might be useful to understand if it is beneficial to promote the practice of developing multiple projects in parallel, or if it is more beneficial to reduce the number of projects each developer contributes.","2023-05-01","2023-06-09 14:34:34","2023-06-09T14:34:34Z","2023-06-09 14:34:34","","","","","","","Breaks and Code Quality","","","","","","","","","","","","NASA ADS","","DOI: 10.48550/arXiv.2305.00760 Publication Title: arXiv e-prints ADS Bibcode: 2023arXiv230500760A Type: article","","","","","Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7QCTZJW","preprint","2023","d'Aragona, Dario Amoroso; Pascarella, Luca; Janes, Andrea; Lenarduzzi, Valentina; Penaloza, Rafael; Taibi, Davide","Breaks and Code Quality: Investigating the Impact of Forgetting on Software Development. A Registered Report","","","","10.48550/arXiv.2305.00760","http://arxiv.org/abs/2305.00760","Developers interrupting their participation in a project might slowly forget critical information about the code, such as its intended purpose, structure, the impact of external dependencies, and the approach used for implementation. Forgetting the implementation details can have detrimental effects on software maintenance, comprehension, knowledge sharing, and developer productivity, resulting in bugs, and other issues that can negatively influence the software development process. Therefore, it is crucial to ensure that developers have a clear understanding of the codebase and can work efficiently and effectively even after long interruptions. This registered report seeks to investigate the relationship between a developer's commits break and different code quality properties, so as to understand if the amount of activity in a project impact the code quality, and if developers with different activity profiles show different impacts on code quality. The results might be useful to understand if it is beneficial to promote the practice of developing multiple projects in parallel, or if it is more beneficial to reduce the number of projects each developer contributes.","2023-05-01","2023-06-09 14:33:31","2023-06-09T14:33:31Z","2023-06-09 14:33:28","","","","","","","Breaks and Code Quality","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2305.00760 [cs]","","","","","Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2305.00760","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDZW9FX7","journalArticle","2023","Orhan, Mehmet A.; Collisson, Brian; Howell, Jennifer L.; Kowal, Marta; Pollet, Thomas V.","Comparing Foodie Calls in Poland, the United Kingdom, and the United States: A Registered Replication Report","Psychological Reports","","0033-2941","10.1177/00332941231164079","https://doi.org/10.1177/00332941231164079","Collisson et al. (2020) found Dark Triad traits and gender role beliefs predicted ?foodie calls,? a phenomenon where people go on a date with others, to whom they are not attracted, for a free meal. Because gender roles and dating norms differ across cultures, we conducted a registered replication across different cultures by surveying 1838 heterosexual women from Poland, the United Kingdom (UK), and the United States (US). Relying on the structural equation modeling, as conducted in the original study, our findings revealed gender role beliefs best predicted foodie calls and their perceived acceptability, whereas the Dark Triad?s general factor was nonsignificant. Analyses at the country level yielded mixed results. The original findings were replicated in the UK and Poland, but not in the US, where only narcissism predicted foodie calls. In the US, gender role beliefs predicted foodie call acceptability, but the Dark Triad general factor did not. Potential reasons for why traditional gender roles, but not the Dark Triad, predicted foodie calls in the US are discussed.","2023-03-16","2023-04-11 18:26:14","2023-04-11T18:26:14Z","2023-04-11 18:26:14","00332941231164079","","","","","Psychol Rep","Comparing Foodie Calls in Poland, the United Kingdom, and the United States","","","","","","","","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NW8KW68","report","2023","Hadavi, Shafagh; Kuroda, Junji; Shimozono, Taiki; Savage, Patrick","Cross-modal relationships between music, emotion, and visual imagery: A comparative study of Iran, Canada, and Japan [Stage 1 Registered Report Snapshot","","","","","https://doi.org/10.31234/osf.io/qky8s","Many people experience emotions and visual imagery while listening to music. Previous research has identified cross-modal associations between musical features such as pitch, tempo, and visual features including height, and colour saturation/brightness. But while researchers have explored cross-cultural links between music and emotion as well as music and visual imagery, few studies have simultaneously investigated cross-cultural links between music, visual imagery, and emotion in order to distinguish the role of cultural experiences in contrast to innate perceptual capabilities. We hypothesize that cross-cultural emotion and cross-modal associations encompass both universality and diversity determined by innate perceptual capabilities and cultural experiences respectively and represented by: 1) cross-culturally consistent correlations between high level auditory features and low level visual features and dimensional emotions, 2) cross-cultural diversity in categorical emotional appraisal. In this study, we investigate the relationship between emotion and visual imagery induced by 6 musical excerpts in participants in Japan, Iran, and Canada through forced choice options such as matching excerpts with visual textures that vary in density, as well as dimensional and categorical emotion ratings for each excerpt manipulated in pitch and tempo. In our full manuscript, we will provide our power analysis and provide the details of our planned sample size.We will test the following four hypotheses: 1) tempo correlates with arousal levels cross-culturally, 2) tempo correlates with visual density cross-culturally, 3) emotion category ratings tend to vary between cultures and often even within cultures in response to slow tempo musical excerpts, and 4) emotion ratings show more consistency cross-culturally in response to faster tempo pieces.Each of the hypotheses helps us conclude which cross-modal and emotion associations are 1) cross-culturally consistent, or 2) culturally-dependent. If we find cross-cultural consistency across all three groups, it would suggest physiological link/embodied cognition represented in cross-modal associations. If we find consistency in two cultures only or none at all, it would suggest that cross-modal associations are culturally dependent. We also plan to conduct exploratory analyses of data on colour associations using the Berkeley Colour project stimuli.","2023","2023-03-10 14:49:23","2023-03-10T14:49:23Z","2023-03-10 14:49:21","","","","","","","Cross-modal relationships between music, emotion, and visual imagery","","","","","","","","cc by","","","","Europe PMC","","DOI: 10.31234/osf.io/qky8s Type: article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7GBXCM7","report","2022","Dung Lai, Tuan; Simmons, Anj; Barnett, Scott; Schneider, Jean-Guy; Vasa, Rajesh","Comparative analysis of real bugs in open-source Machine Learning projects -- A Registered Report","","","","","https://ui.adsabs.harvard.edu/abs/2022arXiv220909932D","Background: Machine Learning (ML) systems rely on data to make predictions, the systems have many added components compared to traditional software systems such as the data processing pipeline, serving pipeline, and model training. Existing research on software maintenance has studied the issue-reporting needs and resolution process for different types of issues, such as performance and security issues. However, ML systems have specific classes of faults, and reporting ML issues requires domain-specific information. Because of the different characteristics between ML and traditional Software Engineering systems, we do not know to what extent the reporting needs are different, and to what extent these differences impact the issue resolution process. Objective: Our objective is to investigate whether there is a discrepancy in the distribution of resolution time between ML and non-ML issues and whether certain categories of ML issues require a longer time to resolve based on real issue reports in open-source applied ML projects. We further investigate the size of fix of ML issues and non-ML issues. Method: We extract issues reports, pull requests and code files in recent active applied ML projects from Github, and use an automatic approach to filter ML and non-ML issues. We manually label the issues using a known taxonomy of deep learning bugs. We measure the resolution time and size of fix of ML and non-ML issues on a controlled sample and compare the distributions for each category of issue.","2022-09-01","2023-03-01 20:40:33","2023-03-01T20:40:33Z","2023-03-01 20:40:33","","","","","","","","","","","","","","","","","","","NASA ADS","","DOI: 10.48550/arXiv.2209.09932 Publication Title: arXiv e-prints ADS Bibcode: 2022arXiv220909932D Type: article","","","","","Computer Science - Artificial Intelligence; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
