"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NYJ4Q563","journalArticle","2024","Uttley, Jim; Canwell, Rosie; Smith, Jamie; Falconer, Sarah; Mao, Yichong; Fotios, Steve A.","Does darkness increase the risk of certain types of crime? A registered report protocol","PLOS ONE","","1932-6203","10.1371/journal.pone.0291971","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0291971","Evidence about the relationship between lighting and crime is mixed. Although a review of evidence found that improved road / street lighting was associated with reductions in crime, these reductions occurred in daylight as well as after dark, suggesting any effect was not due only to changes in visual conditions. One limitation of previous studies is that crime data are reported in aggregate and thus previous analyses were required to make simplifications concerning types of crimes or locations. We will overcome that by working with a UK police force to access records of individual crimes. We will use these data to determine whether the risk of crime at a specific time of day is greater after dark than during daylight. If no difference is found, this would suggest improvements to visual conditions after dark through lighting would have no effect. If however the risk of crime occurring after dark was greater than during daylight, quantifying this effect would provide a measure to assess the potential effectiveness of lighting in reducing crime risk after dark. We will use a case and control approach to analyse ten years of crime data. We will compare counts of crimes in ‘case’ hours, that are in daylight and darkness at different times of the year, and ‘control’ hours, that are in daylight throughout the year. From these counts we will calculate odds ratios as a measure of the effect of darkness on risk of crime, using these to answer three questions: 1) Is the risk of overall crime occurring greater after dark than during daylight? 2) Does the risk of crime occurring after dark vary depending on the category of crime? 3) Does the risk of crime occurring after dark vary depending on the geographical area?","2024-01-19","2024-04-06 02:29:40","2024-04-06T02:29:40Z","2024-04-05 14:46:09","e0291971","","1","19","","PLOS ONE","Does darkness increase the risk of certain types of crime?","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science Citation Key: Uttley-2024","","","","","Crime; Daylight; Medical risk factors; Police; Roads; Theft; Twilight; Violent crime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8YAR47Q","journalArticle","2024","Willmot, Nicholas; Leow, Li-Ann; Filmer, Hannah L.; Dux, Paul E.","Exploring the intra-individual reliability of tDCS: A registered report","Cortex","","0010-9452","10.1016/j.cortex.2023.12.015","https://www.sciencedirect.com/science/article/pii/S0010945224000133","Transcranial direct current stimulation (tDCS), a form of non-invasive brain stimulation, has become an important tool for the study of in-vivo brain function due to its modulatory effects. Over the past two decades, interest in the influence of tDCS on behaviour has increased markedly, resulting in a large body of literature spanning multiple domains. However, the effect of tDCS on human performance often varies, bringing into question the reliability of this approach. While reviews and meta-analyses highlight the contributions of methodological inconsistencies and individual differences, no published studies have directly tested the intra-individual reliability of tDCS effects on behaviour. Here, we conducted a large scale, double-blinded, sham-controlled registered report to assess the reliability of two single-session low-dose tDCS montages, previously found to impact response selection and motor learning operations, across two separate time periods. Our planned analysis found no evidence for either protocol being effective nor reliable. Post-hoc explorative analyses found evidence that tDCS influenced motor learning, but not response selection learning. In addition, the reliability of motor learning performance across trials was shown to be disrupted by tDCS. These findings are amongst the first to shed light specifically on the intra-individual reliability of tDCS effects on behaviour and provide valuable information to the field.","2024-04-01","2024-04-06 02:29:36","2024-04-06T02:29:36Z","2024-04-05 16:13:17","61-79","","","173","","Cortex","Exploring the intra-individual reliability of tDCS","","","","","","","","","","","","ScienceDirect","","Citation Key: Willmot-2024","","","","","Behaviour; Intra-individual; Motor-learning; Reliability; Response-learning; tDCS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMU4AXBH","journalArticle","2024","Schumann, Sandy; Zohny, Hazem","Does attitude importance moderate the effects of person-first language? A registered report","PLOS ONE","","1932-6203","10.1371/journal.pone.0300879","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0300879","Previous research has demonstrated that exposure to outgroup descriptions that use person-first, as compared to identity-first, language can attenuate negative stereotypes or prejudice and enhance support for policies that seek to advance outgroup rights. However, those benefits of person-first language may not apply to all social groups equally. The present study examines a boundary condition of the effects of person-first language. Specifically, we postulate that person-first language reduces the stigmatization of outgroups to a lesser degree if individuals hold more important negative attitudes towards the respective communities. We will test this hypothesis in a two-factorial 2 (target group) x 2 (descriptor) online experiment that includes a control group and for which we will recruit a general-population sample (N = 681). Stereotyping, dehumanization, as well as negative affect and behavioral intentions towards two outgroups will be compared: people with a physical disability/the physically disabled (i.e., negative attitudes are expected to be less important) and people who have committed a violent crime/violent criminals (i.e., negative attitudes are expected to be more important). Our findings will bear implications for understanding when language use could influence public opinion of different social groups. Additionally, the research can inform the development of more effective communication policies to promote inclusion and reduce stigma.","2024-03-28","2024-04-06 02:29:08","2024-04-06T02:29:08Z","2024-04-05 17:47:03","e0300879","","3","19","","PLOS ONE","Does attitude importance moderate the effects of person-first language?","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science Citation Key: Schumann-2024","","","","","Addiction; Analysis of variance; Autism; Crime; Disabilities; Language; Psychological attitudes; Violent crime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M99ASJDV","journalArticle","2023","Lin, Ting-Yu; Cheng, Hao-Chien; Tsai, Yi-Luen; Liu, Hung-Wen; Hung, Tsung-Min","Effects of resistance exercises on inhibitory control and plasma epinephrine levels: A registered report of a crossover randomized controlled trial","Psychophysiology","","1540-5958","10.1111/psyp.14489","","According to the locus coeruleus-norepinephrine (LC-NE) theory, activity of the LC, the major releaser of NE in the brain, regulates inhibitory control. As there is reciprocal communication between circulating epinephrine and the LC, plasma epinephrine is used as the index of LC-NE activity. The aim of this crossover randomized controlled trial is to expand on previous findings by investigating the effects of free-weight, multiple-joint, and structural barbell resistance exercises. Previous studies have had some methodological limitations, such as failure to report the process of randomization, absence of resistance exercise familiarization before the maximal strength testing, and lack of protocol publication. To address these issues, this study incorporates resistance exercise familiarization, transparent reporting of randomization, and submission as a registered report. The results suggest that a single session of resistance exercise (barbell squat, press, and deadlift) with an intensity of 65%-78% 1RM for five repetitions (70%-90% relative intensity) and three sets with 3-min rest intervals improved Stroop congruent reaction time (RT) only (t(27) = -2.663, mean reduction = -15 ms, p = .013, 95% CI [-26, -3]). No significant enhancements were observed in Stroop incongruent RT, inhibitory control as indexed by Stroop effect, or inhibitory control as indexed by the RT difference between the Stroop task and the simple reaction task. Moreover, the alterations in plasma epinephrine levels did not significantly associate with changes in any measure of cognitive performance.","2023-12-14","2024-01-13 08:00:03","2024-01-13T08:00:03Z","","e14489","","","","","Psychophysiology","Effects of resistance exercises on inhibitory control and plasma epinephrine levels","","","","","","","eng","","","","","PubMed","","PMID: 38095293 Citation Key: Lin-2023","","","","","Stroop task; adrenaline; autonomic; executive function; hormonal; research methods; resistance training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQZYMDAC","journalArticle","2023","Saxena, Pankhuri; Treue, Stefan","Effect of attention on human direction-discrimination thresholds at iso-eccentric locations in the visual field: A registered report protocol","PLOS ONE","","1932-6203","10.1371/journal.pone.0289411","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0289411","Human visual perceptual performance is strongly dependent on a given stimulus’ distance from the line of sight, i.e. its eccentricity. In addition, multiple studies have shown a dependence on a stimulus’ angular position relative to the fovea. In humans, the resulting spatial profile of perceptual performance (the “performance field”) typically shows better performance near the lower vertical meridian, compared to the upper vertical meridian, and better performance near the horizontal meridian compared to the vertical meridian. Predominantly, these variations have been interpreted as sensory inhomogeneities. But it has also been shown that they are modulated by the allocation of spatial attention, either homogeneously elevating performance or compensating for the sensory inhomogeneities. Here, we propose a study protocol for pre-registration to investigate such interactions between sensory and attentional effects. First, we will determine performance fields for time-dependent, dynamic stimuli, namely the direction discrimination of moving random dot patterns. Then, we will establish whether directing focal attention to a particular stimulus location differentially improves thresholds compared to a distributed attention condition.","2023-11-30","2024-01-13 07:59:56","2024-01-13T07:59:56Z","2024-01-12 15:13:34","e0289411","","11","18","","PLOS ONE","Effect of attention on human direction-discrimination thresholds at iso-eccentric locations in the visual field","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science Citation Key: Saxena-2023","","","","","Attention; Fovea centralis; Human performance; Luminance; Psychophysics; Sensory cues; Sensory perception; Vision","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STK2D2JU","journalArticle","2023","More, Kimberly R.; More, Curt; Burd, Kayla A.; Mentzou, Aikaterini; Phillips, L. Alison","Does messaging matter? A registered report on appearance-versus health-based message framing in exercise appeals targeted towards women","Psychology of Sport and Exercise","","1469-0292","10.1016/j.psychsport.2023.102555","https://www.sciencedirect.com/science/article/pii/S1469029223001796","Objective Prospect theory proposes that message framing differentially impacts the likelihood of engaging in health-related behaviors. Specifically, gain-framed messages that highlight the benefits of engaging in a behavior are more effective at promoting preventative behaviors than loss-framed messages highlighting the costs associated with a lack of engagement. Research suggests that gain-framed messages may more successfully reduce psychological reactance compared to loss-framed messages, which in turn, may promote behavioral change. However, reactance as a mechanism has been largely overlooked in the literature and support for this hypothesis is mixed. These conflicting results may be due to additional factors, such as outcomes of the targeted behavior (health vs. appearance) and goal orientation. Therefore, the present study examined whether message framing (gain-vs. loss-framing) and the fit between a health message’s outcomes of focus (i.e., health vs. appearance) and an individual’s goal orientation predict psychological reactance, and in turn, cognitive and behavioral outcomes related to exercise. Design This study employed a randomized trial with four experimental groups composed of insufficiently active women. Specifically, participants were randomized to view a loss- or gain-framed video emphasizing either health- or appearance-related outcomes. Results Counter to expectations, there were no between-group differences on exercise-related attitudes and intentions immediately post-intervention, or self-reported behavior at one-week post intervention. However, when health outcomes were emphasized, loss-framed messages generally elicited more reactivity than gain-framed messages. This finding was not replicated for the appearance conditions. Appearance messages also generally elicited more reactance than health messages. Meanwhile, reactance did not predict changes in exercise-related attitudes, intentions, or self-reported behavior, and the relationship between messaging content and reactance was generally not moderated by goal orientation. Conclusion For young inactive women, receiving messages geared towards appearance-related risks of inactivity (e.g., weight gain) tended to produce more reactivity than messages geared towards health-related risks of inactivity (e.g., weakened immune system). However, this did not change exercise-related attitudes, intentions, or self-reported behaviors. Health gain-framed education regarding exercise may be an important part of a comprehensive intervention toolkit, but is likely not enough in and of itself to support or hinder exercise engagement, regardless of framing or emphasized outcomes.","2023-10-29","2023-11-11 02:46:28","2023-11-11T02:46:28Z","2023-11-10 15:50:02","102555","","","","","Psychology of Sport and Exercise","Does messaging matter?","","","","","","","","","","","","ScienceDirect","","Citation Key: More-2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKEXU8BM","journalArticle","1970","Guidali, Giacomo; Zazio, Agnese; Lucarelli, Delia; Marcantoni, Eleonora; Stango, Antonietta; Barchiesi, Guido; Bortoletto, Marta","Effects of transcranial magnetic stimulation (TMS) current direction and pulse waveform on cortico-cortical connectivity: A registered report TMS-EEG study","European Journal of Neuroscience","","1460-9568","10.1111/ejn.16127","https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.16127","Transcranial magnetic stimulation (TMS)-evoked potentials (TEPs) are a promising proxy for measuring effective connectivity, that is, the directed transmission of physiological signals along cortico-cortical tracts, and for developing connectivity-based biomarkers. A crucial point is how stimulation parameters may affect TEPs, as they may contribute to the general variability of findings across studies. Here, we manipulated two TMS parameters (i.e. current direction and pulse waveform) while measuring (a) an early TEP component reflecting contralateral inhibition of motor areas, namely, M1-P15, as an operative model of interhemispheric cortico-cortical connectivity, and (b) motor-evoked potentials (MEP) for the corticospinal pathway. Our results showed that these two TMS parameters are crucial to evoke the M1-P15, influencing its amplitude, latency, and replicability. Specifically, (a) M1-P15 amplitude was strongly affected by current direction in monophasic stimulation; (b) M1-P15 latency was significantly modulated by current direction for monophasic and biphasic pulses. The replicability of M1-P15 was substantial for the same stimulation condition. At the same time, it was poor when stimulation parameters were changed, suggesting that these factors must be controlled to obtain stable single-subject measures. Finally, MEP latency was modulated by current direction, whereas non-statistically significant changes were evident for amplitude. Overall, our study highlights the importance of TMS parameters for early TEP responses recording and suggests controlling their impact in developing connectivity biomarkers from TEPs. Moreover, these results point out that the excitability of the corticospinal tract, which is commonly used as a reference to set TMS intensity, may not correspond to the excitability of cortico-cortical pathways.","1970-01-01","2023-09-09 05:20:59","2023-09-09T05:20:59Z","2023-09-08 15:07:40","","","n/a","n/a","","","Effects of transcranial magnetic stimulation (TMS) current direction and pulse waveform on cortico-cortical connectivity","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ejn.16127 Citation Key: guidaliEffectsTranscranialMagnetic","","","","","TMS-EEG; TMS-evoked potentials; cortico-cortical connectivity; corticospinal connectivity; electroencephalography; motor cortex; transcranial magnetic stimulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49UE9W6T","journalArticle","2016","Azizi, Amirabbas; Aboutorabi, Robab; Mazloum-Khorasani, Zahra; Afzal-Aghaea, Monavar; Tabesh, Hamed; Tara, Mahmood","Evaluating the Effect of Web-Based Iranian Diabetic Personal Health Record App on Self-Care Status and Clinical Indicators: Randomized Controlled Trial","JMIR Medical Informatics","","","10/ggb8fw","https://medinform.jmir.org/2016/4/e32/","Background: There are 4 main types of chronic or noncommunicable diseases. Of these, diabetes is one of the major therapeutic concerns globally. Moreover, Iran is among the countries with the highest incidence of diabetic patients. Furthermore, library-based studies by researchers have shown that thus far no study has been carried out to evaluate the relationship between Web-based diabetic personal health records (DPHR) and self-care indicators in Iran. Objective: The objective of this study is to examine the effect of Web-based DPHR on self-care status of diabetic patients in an intervention group as compared with a control group. Methods: The effect of DPHR on self-care was assessed by using a randomized controlled trial (RCT) protocol for a 2-arm parallel group with a 1:1 allocation ratio. During a 4-month trial period, the control group benefited from the routine care; the intervention group additionally had access to the Web-based DPHR app besides routine care. During the trial, 2 time points at baseline and postintervention were used to evaluate the impact of the DPHR app. A sample size of 72 people was randomly and equally assigned to both the control and intervention groups. The primary outcome measure was the self-care status of the participants. Results: Test results showed that the self-care status in the intervention group in comparison with the control group had a significant difference. In addition, the dimensions of self-care, including normal values, changes trend, the last measured value, and the last time measured values had a significant difference while other dimensions had no significant difference. Furthermore, we found no correlation between Web-based DPHR system and covariates, including scores of weight, glycated hemoglobin (HbA1c), serum creatinine, high-density lipoprotein (HDL), low-density lipoprotein (LDL), total cholesterol, and planned visit adherence, as well as the change trend of mean for blood glucose and blood pressure. Conclusions: We found that as a result of the Web-based DPHR app, the self-care scores in the intervention group were significantly higher than those of the control group. In total, we found no correlation between the Web-based DPHR app and covariates, including planned visit adherence, HbA1c, serum creatinine, HDL, LDL, total cholesterol, weight, and the change trend of mean for blood glucose and blood pressure. ClinicalTrial: Iranian Registry of Clinical Trials (IRCT): 2013082914522N1; http://www.irct.ir/searchresult.php?id= 14522&number=1 (Archived by WebCite at http://www.webcitation.org/6cC4PCcau)  [JMIR Med Inform 2016;4(4):e32]","2016","2023-06-13 16:21:22","2023-06-13T16:21:22Z","2018-11-02 16:32:43","e32","","4","4","","","Evaluating the Effect of Web-Based Iranian Diabetic Personal Health Record App on Self-Care Status and Clinical Indicators","","","","","","","en","Unless stated otherwise, all articles are open-access distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/2.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work (","","","","medinform.jmir.org","","00004","","","","life science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJPME73C","journalArticle","2019","Brannon, Skylar M.; Carr, Sarah; Jin, Ellie Shuo; Josephs, Robert A.; Gawronski, Bertram","Exogenous testosterone increases sensitivity to moral norms in moral dilemma judgements","Nature Human Behaviour","","2397-3374","10.1038/s41562-019-0641-3","https://www.nature.com/articles/s41562-019-0641-3","Moral dilemma judgements frequently involve decisions where moral norms and the greater good are in conflict. The current preregistered study tested the effect of the steroid hormone testosterone on moral dilemma judgements using a double-blind administration of testosterone or placebo. Counter to predictions, testosterone administration led to increased inaction in moral dilemmas where harmful actions prohibited by moral norms increase overall well-being. Using a mathematical model to disentangle sensitivity to consequences, sensitivity to moral norms and general preference for inaction versus action, analyses further revealed that testosterone administration influenced judgements by increasing sensitivity to moral norms. Exploratory analyses suggested the opposite pattern for endogenous testosterone measured at baseline, in that higher levels of endogenous testosterone were associated with lower sensitivity to moral norms. The results indicate that the role of testosterone in moral judgements is more complex than suggested by previous findings.","2019-08","2023-06-13 16:18:46","2023-06-13T16:18:46Z","2023-02-24 21:29:53","856-866","","8","3","","Nat Hum Behav","","","","","","","","en","2019 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Number: 8 Publisher: Nature Publishing Group","","","","life science","Morality; Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBNJ23XF","journalArticle","1970","O'Donnell, Rachel; Chan, Jason C. K.","Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)","Legal and Criminological Psychology","","2044-8333","10.1111/lcrp.12242","https://onlinelibrary.wiley.com/doi/abs/10.1111/lcrp.12242","Purpose Loftus (1979, Reactions to blatantly contradictory information) demonstrated that participants who received a piece of blatantly contradictory information were not susceptible to it (the boundary condition effect). In addition, participants who had received the blatant misinformation were also less susceptible to the more subtle pieces of misinformation compared to the participants who did not receive the blatant misinformation (the inoculation effect). Researchers often cited this finding as evidence for the idea that detecting a piece of blatant misinformation is similar to being given a warning. However, to our knowledge, the inoculation effect has not been replicated. Methods Experiment 1 was a direct replication. Participants either encountered four pieces of nonblatant misinformation (subtle condition) or the same four pieces of nonblatant misinformation and an additional piece of blatant misinformation (blatant condition). Experiment 2 was a conceptual replication in which we also manipulated the presence or absence of initial testing. Furthermore, we presented the slides as a video and presented four neutral and four misleading details in the narrative. Results In two high-powered experiments, we failed to replicate both the inoculation effect and the boundary condition effect. Using a multi-verse analysis approach, we failed to observe a significant advantage from the inclusion of a piece of blatant misinformation in most (but not all) analyses. Conclusion We conclude that encountering a piece of blatant misinformation was not sufficient to inoculate witnesses against other nonblatant pieces of misinformation. We further discuss our results in the context of misinformation, warning, and discrepancy detection.","1970-01-01","2023-06-10 02:03:45","2023-06-10T02:03:45Z","2023-06-09 20:21:19","","","n/a","n/a","","","Does blatantly contradictory information reduce the misinformation effect?","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/lcrp.12242","","","","","blatant misinformation; eyewitness memory; eyewitness suggestibility; misinformation effect; replication; warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
